"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2023-10-03","45,46","52,53","54,55","56",0,2626,1003
"2023-10-04","45,46","63,61","59","60",0,2030,499
"2023-10-05","45,46","61,62","63,64","51",0,2891,1091
"2023-10-06","45,46","65,66","67","51",0,1459,379
"2023-10-23","45,46","70,48","49","71,51",0,1984,601
"2023-10-24","45,46","72,73","74,59","51",0,2221,647
"2023-10-25","45,46","75,76","55","56",0,2384,736
"2023-10-26","45,46","77,78","79","60",0,2144,608
"2023-10-27","45,46","80,53","54,59","81",0,2777,870
"2023-10-30","45,46","47,48","82","55,51",0,1395,439
"2023-10-31","45,46","70,48","83","64,60",0,903,267
"2023-11-01","45,46","84,48","85","71,51",0,966,224
"2023-11-06","45,46","80,53","54","71,51",0,1279,474
"2023-11-07","45,46","86,87","88","64,51",0,1683,351
"2023-11-08","45,46","70,48","82","89,60",0,1491,396
"2023-11-09","45,46","90,91","","92,60",0,2298,616
"2023-11-10","45,46","84,48","85","55,51",0,808,132
"2023-11-13","45,46","70,48","88","55,51",1,1775,411
"2023-11-21","45,46","77,78","","64,51",0,2069,657
"2023-11-21","45,46","77,78","","64,51",0,2069,657
"2023-11-21","45,46","77,78","","64,51",0,2069,657
"2023-11-22","45,46","61,62","63","55,60",0,2941,1121
"2023-11-22","45,46","61,62","63","55,60",0,2941,1121
"2023-11-22","45,46","61,62","63","55,60",0,2941,1121
"2023-11-23","45,46","72,73","74","71,56",0,1718,569
"2023-11-23","45,46","72,73","74","71,56",0,1718,569
"2023-11-23","45,46","77,96","74","71,56",0,1718,569
"2023-11-24","45,46","84,48","","92,51",0,1598,395
"2023-11-24","45,46","84,48","","92,51",0,1598,395
"2023-11-24","45,46","72,48","74","67,56",0,1598,395
"2023-11-28","45,46","70,48","97","55,71,51",0,1667,436
"2023-11-29","45,46","94,95","","55,56",0,2094,625
"2023-11-30","45,46","90,91","","67,79,51",0,2947,1190
"2023-12-01","45,46","84,87","85","67,51",0,1294,303
"2023-12-04","45,46","80,53","54","71,51",0,2576,985
"2023-12-05","45,46","70,48","74","67,60",0,1665,555
"2023-12-06","45,46","61,62","63","55,51",0,2717,953
"2023-12-07","45,46","86,48","88","71,56",0,1875,461
"2023-12-08","45,46","61,87","","92,51",0,1149,311
"2023-12-11","45,46","77,78","","71,51",0,1442,454
"2023-12-12","45,46","90,91","","55,51",0,2309,903
"2023-12-13","45,46","72,73","83","71,56",0,1252,370
"2023-12-14","45,46","80,53","54","55,60",0,1923,552
"2023-12-15","45,46","84,87","85","64,51",0,805,141
"2024-01-22","45,46","70,48","82","64,60",0,1784,480
"2024-01-23","45,46","47,73","49","71,51",0,2057,667
"2024-01-23","45,46","47,73","49","71,56",0,2057,667
"2024-01-24","45,46","65,66","","55,56",0,1629,511
"2024-01-24","45,46","65,66","","55,51",0,1629,511
"2024-01-25","45,46","61,62","63","64,90",0,2779,840
"2024-01-25","45,46","61,62","63","64,60",0,2779,840
"2024-01-26","45,46","84,87","85","64,51",0,1104,373
"2024-01-26","45,46","65,98","85","55,56",0,1104,373
"2024-01-29","45,46","52,53","54","71,51",0,2395,886
"2024-01-30","45,46","72,48","88","55,60",0,2092,558
"2024-01-31","45,46","90,91","","92,56",0,2778,1142
"2024-02-01","45,46","47,73","82","55,51",0,2466,706
"2024-02-02","45,46","84,48","93","71,60",0,1335,334
"2024-02-05","45,46","80,53","","71,51",0,2503,943
"2024-02-06","45,46","100,87","104","64,60",0,2193,668
"2024-02-07","45,46","61,62","63","105,51",0,2834,1022
"2024-02-08","45,46","72,48","88","79,56",0,1953,563
"2024-02-09","45,46","84,103","85","55,51",0,1132,255
"2024-02-15","45,46","47,73","82","71,51",0,1325,491
"2024-02-16","45,46","84,48","85","55,51",0,972,332
"2024-02-19","45,46","52,53","54","55,60",0,2416,772
"2024-02-20","45,46","100,101","89","64,56",0,2203,686
"2024-02-21","45,46","94,95","","71,60",0,2174,699
"2024-02-22","45,46","90,91","","92,51",0,2842,1264
"2024-02-23","45,46","84,103","85","55,51",0,1285,358
"2024-02-26","45,46","86,48","88","64,60",0,2113,656
"2024-02-27","45,46","61,62","63","71,51",0,2942,1121
"2024-02-28","45,46","77,101","","55,56",0,1961,603
"2024-02-29","45,46","94,95","","64,56",0,2049,632
"2024-03-01","45,46","77,78","","55,60",0,1240,339
"2024-03-04","45,46","47,48","49","59,60",0,2347,787
"2024-03-05","45,46","84,48","89","71,60",0,2158,608
"2024-03-06","45,46","72,103","88","55,56",0,2018,614
"2024-03-07","45,46","80,53","54","64,60",0,2656,956
"2024-03-08","45,46","84,48","85","71,51",0,1269,348
"2024-03-11","45,46","77,78","","71,60",0,1871,602
"2024-03-12","45,46","70,48","97","55,56",0,1947,611
"2024-03-13","45,46","90,91","","92,56",0,2857,1187
"2024-03-14","45,46","94,95","","55,51",0,2111,634
"2024-03-15","45,46","84,96","85","71,51",0,1330,346
"2024-03-18","45,46","52,53","54","64,51",0,2299,888
"2024-03-19","45,46","100,101","104","59,67,56",0,2106,626
"2024-03-20","45,46","72,48","88","55,60",0,2059,631
"2024-03-21","45,46","47,73","82","64,56",0,2469,658
"2024-03-22","45,46","84,87","93","71,51",0,1428,376
"2024-03-25","45,46","86,48","88","59,60",0,2142,659
"2024-03-26","45,46","61,107","63","64,56",0,2827,1060
"2024-03-27","45,46","84,87","85","89,51",0,1527,395
"2024-04-01","45,46","80,53","54","71,56",0,2302,807
"2024-04-02","45,46","90,91","","92,51",0,2750,1247
"2024-04-03","45,46","77,78","","55,60",0,1812,601
"2024-04-04","45,46","100,101","89","64,51",0,2466,807
"2024-04-05","45,46","84,103","85","71,51",0,1292,327
"2024-04-08","45,46","47,73","49","71,60",0,2216,757
"2024-04-09","45,46","94,95","","55,56",0,1869,674
"2024-04-10","45,46","70,48","114","115,60",0,1790,557
"2024-04-11","45,46","72,96","104","64,51",0,1899,576
"2024-04-12","45,46","65,66","","71,51",0,1358,336
"2024-04-15","45,46","86,48","88","59,60",0,2064,629
"2024-04-16","45,46","61,73","63","55,51",0,2806,1058
"2024-04-17","45,46","65,116","97","64,56",0,1821,595
"2024-04-18","45,46","118,107","82","64,60",0,2518,839
"2024-04-19","45,46","84,87","93","64,51",0,1444,381
"2024-04-22","45,46","52,53","54","55,60",0,2236,458
"2024-04-23","45,46","90,91","","92,51",0,2801,1253
"2024-04-24","45,46","70,119","54","115,56",0,1790,575
"2024-04-25","45,46","75,76","","67,56",0,2110,627
"2024-04-26","45,46","84,96","85","67,51",0,1350,359
"2024-04-29","45,46","77,78","","55,51",0,1720,601
"2024-04-30","45,46","122,62","","92,81",0,3052,1406
"2024-05-02","45,46","86,96","88","115,51",0,1951,673
"2024-05-03","45,46","65,66","","59,51",0,1355,410
"2024-05-06","45,46","47,73","49","115,60",0,2254,782
"2024-05-07","45,46","123,124","88","55,51",0,2540,930
"2024-05-08","45,46","94,95","","71,56",0,1936,611
"2024-05-09","45,46","90,91","","92,51",0,2856,1141
"2024-05-10","45,46","84,103","85","55,51",0,1206,302
"2024-05-13","45,46","52,53","54","115,60",0,2113,833
"2024-05-14","45,46","100,101","104","79,56",0,2009,658
"2024-05-15","45,46","61,62","63","115,125",0,2796,1054
"2024-05-16","45,46","123,124","83","55,125",0,2434,905
"2024-05-17","45,46","65,66","","71,60",0,1300,329
"2024-05-20","45,46","80,53","54","115,51",0,2043,852
"2024-05-21","45,46","90,91","","92,56",0,2367,1005
"2024-05-22","45,46","72,48","120","79,51",0,1660,463
"2024-05-23","45,46","123,124","88","55,60",0,2121,607
"2024-05-24","45,46","72,96","88","115,60",0,1012,223
"2024-06-14","45,46","84,96","85","64,51",0,539,9
"2024-06-17","45,46","77,78","","115,60",0,1820,463
"2024-06-18","45,46","100,101","89","55,56",0,2094,710
"2024-06-19","45,46","52,53","54","79,51",0,2738,938
"2024-06-20","45,46","123,124","83","59,51",0,2436,852
"2024-06-21","45,46","65,66","","64,60",0,1800,526
"2024-06-24","45,46","86,73","82","79,51",0,2475,801
"2024-06-25","45,46","61,62","63","59,56",0,3005,1350
"2024-06-26","45,46","70,48","114","67,51",0,2275,810
"2024-06-27","45,46","75,76","","59,51",0,2566,801
"2024-06-28","45,46","84,96","85","55,51",0,1550,449
"2024-07-01","45,46","47,119","49","55,51",0,2639,997
"2024-07-02","45,46","72,48","120","79,60",0,2471,873
"2024-07-03","45,126","123,124","74","59,51",0,2670,984
"2024-07-04","45,46","94,95","","79,60",0,2444,832
"2024-07-05","45,46","84,96","85","59,51",0,1534,456
"2024-07-08","45,46","80,53","54","79,60",0,2649,1030
"2024-07-09","45,46","90,91","","92,56",0,2794,1302
"2024-07-10","45,46","70,48","120","71,51",0,1942,678
"2024-07-11","45,46","75,76","","71,60",0,2272,794
"2024-07-12","45,46","84,96","93","79,51",0,1523,496
"2024-07-15","45,46","72,73","","92,60",0,2336,829
"2024-07-16","45,46","94,95","","59,127",0,2560,1088
"2024-07-17","45,126","123,124","74","115,51",0,2743,1035
"2024-07-18","45,46","47,119","128","64,51",0,2655,957
"2024-07-19","45,46","65,66","","59,56",0,1629,532
"2024-07-22","45,46","86,73","128","55,60",0,2400,851
"2024-07-23","45,46","129,101","63","67,56",0,3119,1412
